id;"nome_pais,""quantidade"",""preco_medio"",""descricao_mais_longa""";
32;"France,1,19000,""A massive wine for Margaux, packed with tannins and ripe fruit. It has more Cabernet Sauvignon than usual, giving intense black currant flavors with enticing acidity balanced by the sweetness of the fruit. Ripe swathes of this opulent fruit are also elegant and structured.""";
33;"Canada,4,1360,""This pure varietal bottling spent 18 months in oak, emerging perfectly proportioned with deftly integrated flavors of berry and herb, and a touch of fresh snap peas. The tannins carry the characteristic green olive notes, and the finish offers the scent and flavor of ground coffee as well. Overall a very fine effort.""";
34;"Italy,27,18090,""Truffle, chopped mint, woodland berry and eucalyptus aromas unfold in the glass. Bright and juicy, the palate evokes succulent red berries, star anise, clove and tobacco, set against a backdrop of firm, polished tannins. Fresh acidity lends balance. Drink 2019–2027.""";
35;"US,1,1680,""This wine backs up the price tag with a fruit-forward nose showing blackberry, black cherry, dried mint and tarragon. The palate is more tart, with dried sour cherries, espresso-bean bitterness, lava rocks and graphite. It's surprisingly both dark and lean, offering solid complexity.""";
36;"France,596,95360,""Yes, this wine comes from a village of Chardonnay in the Mâcon region of Burgundy. It's a typical, crisp, freshly green Chardonnay that zings on to the palate. No wood here, just light grapefruit and citrus flavors, rounded with a touch of apple. Screwcap.""";
37;"Austria,46,9660,""Wonderfully zesty notes of lime peel are joined by savory hints of fern and riper notes of juicy, yellow pear. The palate is slender but expressive and adds more green pear notes alongside a lemony, easy freshness. This is concentrated and convincing.""";
38;"Italy,4,9000,""Roberto Conterno didn't make his flagship Monfortino in this vintage so he blended the juice destined for this iconic wine into Francia. It opens with enticing aromas of dark berry, underbrush, baking spice, mineral and a balsamic note that carry over to the powerful palate, along with juicy raspberry, licorice and tobacco. It's big and structured but also shows balance and complexity. Drink 2019–2029.""";
39;"US,1,1380,""Jammy, rich and leathery, this full-bodied, robust wine has a touch of smoke lingering in the back, beneath soft, well-integrated oak. Juicy, it's enjoyable now, while being structured enough to go another decade or so. Cellar through 2021.""";
40;"Argentina,9,9900,""This is top-notch Argentine Cabernet Franc. Savory, exotic, oaky blueberry and blackberry aromas set up a bold palate with ample acidity and modest tannins. Berry flavors and oak spice are the key flavors, while a buttery oak note and a pinch of salt rise up on the finish. Drink now through 2018.""";
41;"Bulgaria,18,2520,""This wine has aromas of cherry cola and freshly picked cherries. In the mouth there are flavors of tart cherry and black raspberry, with balanced tannins and a long finish.""";
42;"Italy,59,31860,""You'll find wild red berry, coconut, leather, dark spice and balsamic notes on the nose of this wine. They infuse the palate, accenting its espresso-like flavor. It's full-bodied, with a backbone of close-grained tannins that give the finish grip. Drink 2019–2027.""";
43;"US,2086,375480,""Zucca has made a fragrant and floral Sangiovese Rosato here, dry like cherry jam on toast and a nutty finish. Pair it with tropically seasoned seafood.""";
44;"New Zealand,13,4290,""This wine is initially marked by scents of charred oak and espresso beans. With aeration, the cherry fruit become more apparent. It's medium to full in body, with silky yet firm tannins that reflect the vineyard's clay soils.""";
45;"Italy,11,8030,""Very supple on the palate, this Cabernet Sauvignon-Merlot blend has dense black cherry aromas and flavors framed by dill oak.  Earth notes add a touch of complexity and the finish is full, with tobacco-earth accents.  Attractive and easy-to-like as it is, but the wine seems to have the potential for more nuance and dimension than it presently shows.""";
46;"Argentina,1,760,""Chunky black-fruit aromas are ripe but familiar, meaning the nose is pumped full of richness and oak. Racy acidity on the palate gives this modern Cab spine, while in the mouthfeel stays on the fast track due to zesty acidity. Flavors of cassis and blackberry register as fresh and ripe, and the finish is crisp and not the least bit flabby. Drink through 2016.""";
47;"Turkey,1,350,""Inky violet red to the eye, this wine made of native Turkish variety Öküzgözü offers a beautiful combination of fruit and spice flavors that are only hinted at by aromas of black cherry, talc and violet. Harmonious flavors of cassis, blackberry jam, anisette, vanilla bean and coffee roll on the tongue among silky tannins through a finish that features a lasting sense of black cherry and anise.""";
48;"Chile,6,2220,""Woodsy earthy berry aromas share the nose with fresh-cut oak scents. This Carmenère-Syrah blend feels lively and juicy, not heavy or flat. Dark spicy berry and plum flavors include notes of olive and oak, while the finish is spicy and tastes of olive and tobacco.""";
49;"Portugal,24,5040,""With aromas of wood aging, this is a tropical fruit and spice flavored wine. It displays a strong sense of texture and freshness. It is already showing richness as well as a good sense of style. Drink from 2015.""";
50;"England,2,1040,""Lively, crisp apple notes on the nose immediately signal freshness. The palate follows with equally brisk green apple and citrus notes, mellowed fittingly with a very fine, soft and creamy mousse. This is lithe, dew-fresh and of great purity. It conjures up visions of clear brooks, green meadows and budding elderflower. The crisp green-apple notes echo long and make for a totally refreshing, brisk finish.""";
51;"Spain,1,2580,""This gorgeous dessert wine shows a coffee-colored tint that's backed by lush, deep aromas of fig, caramel, toffee and prune. The palate shows weight but a refined mouthfeel that's not sticky or heavy. Flavors of coffee, mocha, chocolate, caramel, peanut brittle and prune finish warm and long. Only 43 cases made.""";
52;"Portugal,1,1080,""Offley, established in 1737, is a famous old Port house. This 30-year-old tawny, aged in the cellars at Vila Nova de Gaia at the mouth of the Douro river, has a strong sense of wood aging that gives acidity and a golden glow to the palate. Like any aged tawny, it can be drunk now.""";
53;"Brazil,1,310,""This opens with dusty dried-apple aromas. High acidity preserves its composure even though the fruit is marginal and vacillates between flavors of apple and lemony citrus.""";
54;"France,1,3530,""This wine is concentrated and dense. Big tannins flow up through this wine, giving shape to the ripe black fruit. In the back, acidity dominates bright red berries and the potential for a rich, generous future. The wine will age over many years. Drink from 2022.""";
55;"Uruguay,3,540,""Open-grained oak aromas sit on top of dark-berry scents. This blend of Tannat, Merlot and Zinfandel is ripe and beefy on the palate, with jammy weight. Toasty black-fruit flavors are peppery and spicy, while this displays a firm grip on a dark, smoky finish.""";
56;"Argentina,34,9860,""With feline aromas of juniper bush, grass and sweaty citrus, this is true Sauvignon Blanc. Oak aging has lent an easiness to the mouthfeel, which shows good acidity. Flavors of green fruits, melon and pithy bitterness end in chalky clarity. This is one of Argentina's best Sauvignon Blancs.""";
57;"Spain,6,4680,""This wine costs a lot for what it's giving. The nose starts out hard and fruitless, and while the aromas come around, the wine always holds onto its corn and haystack character. Zippy acidity gives the mouth zest, and it also livens up papaya, banana and apricot flavors. Complex and different, but does it taste good enough to justify a $78 price tag?""";
58;"Germany,4,2520,""There's subdued elegance to this dry, lushly textured Riesling. The nose is delicately aromatic with whiffs of stonefruit and smoke that build on the palate. Intensely minerally and bright with lime acidity, it finishes long with a rich, slightly viscous mouthfeel.""";
59;"US,8,22000,""Very polished and pure, if a bit direct and obvious in appeal. A beautiful wine, with pure flavors of currants and cedar. Drinkable now, and should hold through the decade.""";
60;"Bulgaria,4,760,""This white blend of 50% Chardonnay, 30% Sauvignon Blanc and 20% Sémillon has aromas of citrus blossom, vanilla bean and lemongrass. In the mouth it has flavors of lemon curd, lemon-lime zest and mango. The finish is clean with a savory note of dried herbs in the post palate.""";
61;"Spain,3,4350,""Ripe, sweet and stylish, with blackberry, root beer and herb aromas. Bulky yet balanced, with black cherry fruit that comes at you in jammy style. Black tea, ground spices, coffee and raw oak work the finish. A dark and handsome wine, but one that isn't overly complex and is ready to drink now through 2011.""";
62;"Greece,17,3740,""Toast, vanilla and spice on the nose start this elegantly constructed white from, Attica. The wine's lemon and lime flavors are layered with cedar and vanilla notes. An appealing pour with more years to age.""";
63;"France,112,100800,""With its massively concentrated blackberry fruit framed in ample new oak, this bears a bit of resemblance to some Australian Shirazes. It's mouthfilling but supple, with nuances of Christmas spices like cinnamon, clove and anise that linger on the long finish. Drink 2014–2023.""";
64;"Uruguay,1,390,""Clove and barrel spice are dominant factors in this ripe Tannat, from first whiff to the finish. In between, there's char on the nose and palate as well as ripe blackberry and black currant flavors blended with wood-based pepper, nutmeg and more. A smoking, chewy, tannic finish closes this out. Drink from 2016–2019.""";
65;"Hungary,1,460,""This Szamorodni, or late-harvest wine, is amber in color with aromas of caramel and dried raisins. In the mouth, there are rich flavors of dried fruits, stewed plums and wine-soaked raisins that combine on your tongue before a juicy yet persistent finish.""";
66;"England,15,7500,""What an aromatic tease: there is elderflower, tart passion fruit and lots of fruity exuberance. The interplay between lip-smacking tartness and almost frivolous fruit makes for liveliness, excitement and joy. Serve this when you want your guests to sparkle as much as the wine. Autolytic flavors are subtle but provide a creamy finish.""";
67;"France,263,157800,""With up to seven years' bottle aging, this is at a fine point between crispness and a fuller, more mature style. It is ripe with red fruits, cut with acidity and a hint of toastiness. Drink now.""";
68;"France,9,7830,""This rich, delicious wine is still bursting with young apple and grapefruit flavors, giving it a fruity start with great long-term potential. Then the concentration and the richly mineral texture kicks in, lending the wine intensity and the possibility of aging. Drink from 2019.""";
69;"Israel,5,1150,""This is a nicely integrated wine with good balance and structure. Though the finish could be a bit longer, the forward red currant and plum flavors mingling with hints of tomato, tobacco and spice create just enough complexity.""";
70;"Portugal,8,400,""This is a full-bodied and very ripe wine. It is dry, but has layers of sweet fruits, gentle tannins and suggestions of the wood aging. With spice, some herbal character and great fruitiness, it's ready to drink.""";
71;"Germany,10,5700,""Yellow freesia and sweet peach abound in this deeply floral, fruity auslese. Feather light in texture, yet deeply concentrated in flavor, it's penetratingly sweet yet finishes with a flurry of crushed minerals and lime-pith astringency.""";
72;"US,2157,862800,""Zinfandel is joined by Mourvèdre and a few other minor grape varieties in this overtly sweet, high alcohol wine. It's soft and glyceriney, with cherry, blueberry, dark chocolate and pepper flavors. You have to give it credit for being true to its style.""";
73;"US,545,212550,""Youthful and compelling, this 100% estate Merlot comes with a seductive smoky note. The juicy berry flavor is rich and racy, while the barrel aging—50% new—hits exactly the right toasty note.""";
74;"Germany,3,4800,""Viscous, almost oily in texture, this is several vintages older than most of the recent samples, yet seems so unevolved that it's not out of place. Honey and dried spices are the predominant themes, with citrusy fruit making up the core. Should evolve glacially through at least 2025.""";
75;"Argentina,3,150,""While this smells floral and candied, the palate rages, courtesy of strapping acidity that creates tart plum and blueberry flavors.""";
76;"France,1,11000,""Such a generous and ripe wine, with a dark core of tannins surrounded by opulent fruit. Black fruits, coffee, very concentrated flavors, a powerhouse of structure and richness. The warmth of the wine is palpable, as is the aging potential.""";
77;"France,1,2530,""The name refers as much to the brilliant green-gold color of this wine as to its richness. A tiny production from selected parcels of old Marsanne vines, this is a beautifully rich, creamy wine with a touch of honey and flavors of ripe pears.""";
78;"US,156,87360,""You might want to give this intil 2020–2022 in the cellar to come around. Right now, it's pretty tannic, with herb-infused blackberry jam and tea flavors. Frisky acidity is accented by sweet, toasty oak.""";
79;"Canada,12,4800,""This wine still appears to be coming out of its shell, showing some reduction with reticent notes of red plum, cherry and berry. The flavors are lipsmacking and rich, but it's difficult right now to get a clear sense of where it's all going.""";
80;"Italy,62,58900,""You can taste the age here in the wine's sophisticated and evolved aromas of butterscotch, caramel, dried fruit and pressed flower petal. In fact, this wine comes from the far away 2000 vintage but has beautifully maintained its fruit characteristics and overall crispness.""";
81;"Israel,5,500,""With fairly muted fruit flavors and a hint of green pepper, this lighter-bodied and easy-drinking wine will pair well with most meat or chicken entrées. Flash-pasteurized and mevushal, this is a blend of 50% Cab, 30% Merlot and 20% Shiraz.""";
82;"Georgia,5,650,""This pale-straw-colored wine offers aromas of apricot and almond. It has good mouthfeel, smooth tannins, flavors of soft peach, toasted almond, vanilla and freesia, and a finish marked by flavors of almond paste and lemon zest.""";
83;"Portugal,1,4000,""This fabulous wine comes from a legendary Vintage Port year. Aged in wood and only bottled in 2015, it is so concentrated and intense. The old gold and wood flavors are dominant in a beautiful wine that may be old but certainly has every possible nuance of flavor. It is one in a succession of rare and treasured Ports that occasionally emerge from Port producers cellars. Drink now.""";
84;"Greece,4,2200,""This offers aromas and flavors of plum, savory spice and cigarbox, with an overall dry and focused character. A smoky spice note finishes the wine. Pair this with grilled lamb, pizza or steak.""";
85;"Germany,15,7350,""While expressive on the nose with scents of dried cherries, potpourri and spice, the palate on this Pinot Noir is rather savory and austere. Fresh with green herbs and a tart sour-cherry profile, it makes a brisk companion to an array of light meat and game dishes.""";
86;"Canada,6,1680,""Though it's designated as reserve-level, and lists rather high alcohol, this seems thin, stemmy and green. The fruit is nearly invisible. The addition of 14% Cabernet Franc has not had any noticeable impact. Drink up.""";
87;"India,2,200,""Pineapple, grapefruit, and apricot show brightly on the nose and palate. Simultaneously refreshing and sophisticated on the palate, this wine has a crisp, lingering finish laced with flavors of almond blossom.""";
88;"Argentina,33,7920,""This wine leads with big, rubbery, almost stewy aromas. In the mouth, this rich Malbec feels reduced and jammy, with heavy tannins. Flavors of blueberry and blackberry are infused with herbal notes, while the finish offers flavors of licorice and chocolate.""";
89;"Luxembourg,1,260,""This sparkling wine has vanilla bean, freshly baked brioche, Granny Smith apple and Bartlett pear aromas. It has a very nice mousse and flakey pie crust, lemon zest and pear flavors.""";
90;"Portugal,3,1860,""Ripe, rich and smooth, this wine has structure under the generous, opulent black fruits that will allow it to age further. But with its succulent character laced with acidity, it is surprisingly ready to drink for such a young wine.""";
91;"Germany,1,6720,""Honey and smoke mix seductively on this piercingly bright yet intensely rich TBA full of orange marmalade and sweet peach nectar. It's unctuously honeyed but delicately textured on the palate. It's earthy minerality should deepen considerably over the next ten years.""";
92;"Spain,17,7820,""Yeasty aromas of banana and white bread feed into a round full palate that's not at all edgy despite this being brut nature. Bready, yeasty flavors of citrus and nectarine end with a flash of peach and excellent clarity, length and elegance. Both this and AA's Privat Mirgin prove that elevated Cava can compete with the world's best sparkling wines.""";
93;"France,27,31050,""With smoky aromas, this starts out as an enticing wine. On the palate, the fruit is surprisingly soft for a Nuits-St-Georges, with the wine's evident structure showing an open character, edged with wood and red plum and currant flavors. The dry tannins give shape, but do not dominate this big wine.""";
94;"France,1,6020,""Vines planted in the 1960s give this wine its great concentration. With its powerful fruits and dense tannins, it is well structured, with the hallmark bright fruits of the vintage along with acidity. The tannins are very present at the moment, and the wine will need long aging. Drink from 2024.""";
95;"Chile,3,12000,""The price on this wine is laughable, but the quality is excellent. Earthy aromas of lead pencil, baked plum, cassis and black cherry include chocolate and minerality. The palate is rich, jammy and a touch stewy, with herbal blackberry, cassis, chocoalte and coffee flavors. Even more chocolate and licorice rise up on the long finish. Put this away until 2015, then drink through 2024.""";
96;"Romania,8,960,""With fresh, grassy aromas and flavors and a subtle character on the palate, this friendly white is simple but enjoyable. Pair with grilled seafood or spicy Asian cuisine.""";
97;"Brazil,3,1080,""Stony polished white-fruit aromas are lean and clean. This brut nature shows modest heft as it expands on the palate, but mostly this is racy and fit. Yeasty flavors of white pepper and lime finish with a leesy note and stoniness.""";
98;"Chile,14,11200,""With distinct aromas of field herbs, asphalt, gritty mineral, herbal berry and burnt toast, this is a challenging blend of Cabernet Sauvignon, Syrah, Carmenère and Petit Verdot. The palate hits hard with aggressive tannins and abrasive acidity, while flavors of baked black fruits and coconut announce loud oak. This finishes hard and gritty, with a mule's kick.""";
99;"Argentina,1,1020,""This is a potent brew with complexities galore, but there's also a simplicity about it that's appealing. Its raw size is bracing, but the structure and fabric of this Malbec-Cabernet Sauvignon scream balance. Aromas of lead pencil, sawdust, coconut and brandied cherries introduce briary dark-berry flavors. A long, minty, power-packed finish says lay this down for a few years";
100;"Spain,4,160,""Tropical fruit and citrus aromas aren't bad, but the palate is heavy. The flavor profile only offers soap and grassy white-fruit flavors, while a light, flowery finish falls flat.""";
101;"US,900,234000,""Zippy and fresh, this wine also offers deeper layers of papaya and guava that provide a confectionery complement to the fruit. With a stony and gravelly texture on the palate, it spent time in both neutral French oak and stainless steel, and finishes up with honeydew melon flavor.""";
102;"Italy,61,28060,""Underbrush, prune and a whiff of leather lead the nose. The palate offers raisin, dried black cherry, black pepper and a hint of glazed plum alongside big, round tannins.""";
103;"France,1,4510,""The balance of this wine is what makes it so impressive. Spice and yellow fruit intermingle effortlessly. There is a core of tight, coiled steel, like a spring, which gives minerality along with the richness. At the end, acidity lifts the wine, finishing with freshness as well as intensity.""";
104;"Italy,11,19800,""This savory, firmly structured, full-bodied red opens with subtle dark berry, rose petal, pipe tobacco and crushed herb aromas. It delivers layers of juicy Marasca cherry, black raspberry, cinnamon and clove flavors, buttressed by youthfully assertive but refined tannins and nicely balanced, with fresh acidity. Drink 2023–2033.""";
105;"New Zealand,6,7200,""This is a sturdy, tannic wine, but one that should come around in a few years. Vanilla, cedar and dark fruit notes have the spotlight for now, with hints of mocha coming on strong on the long finish. Drink 2018–2025.""";
106;"Germany,3,13200,""This stunning TBA is a powerhouse of superripe peach, mango and orange flavors. The palate feels smooth and rich, with honey and marmalade flavors, but it's ethereally light, with a dusty minerality and shrieking lemon acidity that reverberates on the finish. Gorgeous now, but should develop an earthy, honeyed intensity over the next decade.""";
107;"France,3,3060,""Very pure lemon and toast flavors dominate this wine. It has crispness, intense freshness and lively acidity. There is also a sense of richness that is slowly developing and that will broaden the wine over the next several months.""";
108;"Hungary,4,680,""This Kekfrankos (known more commonly in Austria as Blaufränkisch) layers tart, crisp blackberry and briar flavors with earthy, rustic notes of wet soil, barnyard and hay. Savory in style and brisk on the palate, it would be a wonderful accompaniment to wild game or fowl.""";
109;"Serbia,2,440,""This aged Riesling is medium gold colored, with pleasant aromas of lemon peel and petrol. It is round and generous on the palate, with flavors of lemon custard and green olive tapenade. The finish is long, with lingering flavors of lemon pith.""";
110;"Italy,158,60040,""White flower, toasted nut, citrus and white stone fruit aromas set the tone on this crisp sparkler. The elegant palate offers creamy pear, yellow apple, nectarine zest and bread crust alongside fresh acidity that brightens the rich flavors. An elegant perlage conveys finesse.""";
111;"Argentina,1,1670,""After picking yourself up off the floor having digested the price, the wine is excellent but not otherwordly. Sweet, dense and calm on the nose, with alluring black fruit and raisin aromas. Feels hefty and gritty, with rooty, sweet flavors of brown sugar and baked blackberry. Finishes round, big and smooth, with generally good balance. 120 cases made";
112;"US,1085,151900,""Zesty tangerine peel, apple and pear abound on this crisp, light-bodied Riesling. It's not a deeply concentrated wine but dry and spry. The finish is a touch earthy. Drink now.""";
113;"Portugal,3,2160,""Big, powerful wine that is restrained by its ripe, dusty tannins. It is concentrated, with an almost Port-like texture, a result of the open lagars in which it is fermented. The fruit is likely to be rich and opulent as the tannins move into balance.""";
114;"Spain,40,14400,""Young and fully toasted, with exuberance mellowed by mossy leather aromas. Full-on in the mouth, with piercing tannins in front of a chocolaty, rich palate that's herbal and offers oaky vanilla for sweetness. Turns more herbal and sauvage on the finish.""";
115;"Portugal,38,20900,""With hints of vanilla as well as black currants, this wine still needs to come into balance. It has attractive fruitiness along with tannins, but it is still young. Drink from 2027.""";
116;"Canada,1,900,""Richly aromatic, with notes of orange marmalade, apricot, honey and crème fraîche. It's thick and creamy in feel while still displaying exceptional balance, length and intensity.""";
117;"Portugal,2,1360,""The top wine from Sogrape's Dão flagship quinta, this is a selection of the best parcels. It's a powerful, serious wine, showing great regional characters of dark, mineral tannins and rich black fruits. There's a fine line of juicy acidity that cuts through the firm structure. Age this major wine for at least six years.""";
118;"France,2,3980,""Taittinger's prestige cuvée epitomizes the Chardonnay predilection of this producer. This now-mature bottling is elegant and very stylish. Toast and a soft texture combine with great complexity to reveal a wine that is poised and ready to drink. But with the acidity in the background, it could still age, so drink now and until 2022.""";
119;"New Zealand,11,3740,""Toasted almond aromas lead the way in this elegant, harmonious offering. It's medium bodied and plump, easily supporting intriguing notes of smoke, pineapple, peach and citrus. Drink now–2020.""";
120;"Italy,32,17920,""You'll find earthy aromas of truffle, new leather, game and pressed violet and whiffs of menthol and toast in this firmly structured red. The taut palate shows red cherry, crushed cranberry, cinnamon and ground clove flavors set against fine-grained tannins and vibrant acidity. Drink after 2023.""";
121;"US,1,3500,""Made from a majority of Cabernet Sauvignon, this brawny, full-bodied wine evokes tobacco, coconut and cherry cola, the flavors commingling within a frame of taut structure and moderate acidity.""";
122;"US,210,113400,""Young, vibrant and juicy, this is a beautiful Pinot Noir to drink now with fine foods ranging from steak and lamb to tuna and salmon. It has a silky, dry mouthfeel made brisk with acidity, while the flavors veer toward red stone fruits and spices.""";
123;"Argentina,5,1850,""Raw, rubbery and just not that good of a wine. Bramble, leather and compost muscle out any fruit aromas, and on the palate it's perky to the point of being acidic. Lacks balance while burning up everything in its path.""";
